,(vertigo) Paroymsal  Positional Vertigo,Arthritis,Bronchial Asthma,Cervical spondylosis,Chicken pox,Common Cold,Dengue,Diabetes,Drug Reaction,GERD,Gastroenteritis,Hypertension,Hyperthyroidism,Hypoglycemia,Hypothyroidism,Impetigo,Jaundice,Malaria,Migraine,Peptic ulcer diseae,Psoriasis,Tuberculosis,Typhoid,Urinary tract infection,Varicose veins
(vertigo) Paroymsal  Positional Vertigo,1.0,0.0,0.0,0.1,0.0625,0.045454545454545456,0.17647058823529413,0.0,0.0,0.09090909090909091,0.1111111111111111,0.2222222222222222,0.0,0.2,0.0,0.0,0.07692307692307693,0.2727272727272727,0.07142857142857142,0.09090909090909091,0.0,0.047619047619047616,0.21428571428571427,0.0,0.0
Arthritis,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
Bronchial Asthma,0.0,0.0,1.0,0.0,0.13333333333333333,0.15,0.1111111111111111,0.06666666666666667,0.0,0.09090909090909091,0.0,0.0,0.0625,0.058823529411764705,0.05555555555555555,0.1,0.16666666666666666,0.07692307692307693,0.0,0.0,0.0,0.2222222222222222,0.13333333333333333,0.0,0.08333333333333333
Cervical spondylosis,0.1,0.0,0.0,1.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicken pox,0.0625,0.0,0.13333333333333333,0.0,1.0,0.21739130434782608,0.3888888888888889,0.10526315789473684,0.14285714285714285,0.0,0.0,0.06666666666666667,0.047619047619047616,0.09523809523809523,0.09090909090909091,0.14285714285714285,0.1875,0.11764705882352941,0.05263157894736842,0.0625,0.0625,0.2857142857142857,0.15789473684210525,0.0,0.058823529411764705
Common Cold,0.045454545454545456,0.0,0.15,0.0,0.21739130434782608,1.0,0.24,0.038461538461538464,0.0,0.09523809523809523,0.0,0.1,0.037037037037037035,0.07407407407407407,0.034482758620689655,0.047619047619047616,0.08695652173913043,0.19047619047619047,0.04,0.0,0.0,0.32,0.16666666666666666,0.0,0.043478260869565216
Dengue,0.17647058823529413,0.0,0.1111111111111111,0.05555555555555555,0.3888888888888889,0.24,1.0,0.043478260869565216,0.05555555555555555,0.05263157894736842,0.058823529411764705,0.05555555555555555,0.041666666666666664,0.18181818181818182,0.038461538461538464,0.11764705882352941,0.15789473684210525,0.375,0.045454545454545456,0.1111111111111111,0.1111111111111111,0.25,0.3157894736842105,0.0,0.05
Diabetes,0.0,0.0,0.06666666666666667,0.0,0.10526315789473684,0.038461538461538464,0.043478260869565216,1.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.15789473684210525,0.09523809523809523,0.0,0.125,0.0,0.11764705882352941,0.0,0.0,0.08333333333333333,0.05,0.0,0.13333333333333333
Drug Reaction,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.05555555555555555,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.08333333333333333,0.0,0.0,0.0,0.1,0.0,0.0,0.125,0.0
GERD,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.09523809523809523,0.05263157894736842,0.0,0.1,1.0,0.1111111111111111,0.1,0.0,0.058823529411764705,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07142857142857142,0.09090909090909091,0.0,0.15789473684210525,0.0625,0.0,0.0
